YEAR,BEST ORIGINAL SONG,URI,WON (yes=1 no=0),Notes,Lyrics
2004,Accidentally in Love,4ccM2xBxicGigjLqt6A0YY,0,,"So she said what's the problem baby
What's the problem I don't know 
Well maybe I'm in love (love) 
Think about it every time
I think about it
Can't stop thinking 'bout it
How much longer will it take to cure this
Just to cure it cause I can't ignore it if it's love (love) 
Makes me want to turn around and face me but I don't know nothing 'bout love 
Come on, come on 
Turn a little faster
Come on, come on 
The world will follow after
Come on, come on 
'Cause everybody's after love
So I said I'm a snowball running 
Running down into the spring that's coming all this love 
Melting under blue skies 
Belting out sunlight 
Shimmering love 
Well baby I surrender 
To the strawberry ice cream
Never ever end of all this love
Well I didn't mean to do it 
But there's no escaping your love
These lines of lightning 
Mean we're never alone, 
Never alone, no, no 
Come on, come on
Move a little closer 
Come on, come on
I want to hear you whisper
Come on, come on 
Settle down inside my love
Come on, come on 
Jump a little higher
Come on, come on
If you feel a little lighter
Come on, come on 
We were once upon a time in love 
We're accidentally in love 
Accidentally in love
Accidentally in love
Accidentally in love
Accidentally in love
Accidentally in love
Accidentally in love
Accidentally in love
Accidentally 
I'm in love, I'm in love, 
I'm in love, I'm in love, 
I'm in love, I'm in love,
Accidentally 
I'm in love, I'm in love,
I'm in love, I'm in love,
I'm in love, I'm in love,
Accidentally 
Come on, come on
Spin a little tighter
Come on, come on 
And the world's a little brighter
Come on, come on 
Just get yourself inside her 
Love I'm in love"
2003,Into the West,0gSEyG7pOFuHM05433EibX,1,,"Lay down
Your sweet and weary head
The night is falling
You have come to journey's end
Sleep now
And dream of the ones who came before
They are calling
From across the distant shore
Why do you weep?
What are these tears upon your face?
Soon you will see
All of your fears will pass away
Safe in my arms
You're only sleeping
What can you see
On the horizon?
Why do the white gulls call?
Across the sea
A pale moon rises
The ships have come to carry you home
And all will turn
To silver glass
A light on the water
All Souls pass
Hope fades
Into the world of night
Through shadows falling
Out of memory and time
Don't say
We have come now to the end
White shores are calling
You and I will meet again
And you'll be here in my arms
Just sleeping
And all will turn
To silver glass
A light on the water
Grey ships pass
Into the West"
2003,Scarlet Tide,611KTUXkRqkBWBYchQKToU,0,,"When I recall his parting words
Must I accept his fate
Or take myself far from this place
I thought I heard a black bell toll
A little bird did sing
Man has no choice
When he wants every thing
We´ll rise above the scarlet tide
That trickles down through the mountain
And separates the widow from the bride
Man goes beyond his own decision
Gets caught in a mechanism
And swindlers who works like kings
And broke those who break everything
The dark of night was swiftly fading
Close to the dawn of day
Why would I want him just to lose him again
We´ll rise above the scarlet tide
That trickles down through the mountain
And separates the widow from the bride"
2003,You Will Be My Ain True Love,3V7joCdcGXAW9w7o7ctLvX,0,,"You'll walk unscathed through musket fire
No ploughman's blade will cut thee down
No cutlass wound will mark thy face
And you will be my ain true love
And you will be my ain true love
And as you walk through death's dark veil
The cannon's thunder can't prevail
And those who hunt thee down will fail
And you will be my ain true love
And you will be my ain true love
Asleep inside the cannon's mouth
The captain cries, 'here comes the rout!'
They'll seek to find me north and south
I've gone to find my ain true love
The field is cut and bleeds to red
The cannon balls fly 'round my head
The infirmary man may count me dead
When I've gone to find my ain true love
I've gone to find my ain true love"
2003,A Kiss at the End of the Rainbow,5PDq165plfTpVJGHxiMKb6,0,,"Together:
Oh when the veil of dreams has lifted,
And the fairy tales have all been told,
There's a kiss at the end of the rainbow;
More precious than a pot of gold.
Mitch:
In tales of ancient glory,
Every knight and maiden fair shall be joined when the quest is over,
And a kiss is the oath that they swear.
Together:
And when the veil of dreams has lifted,
And the fairy tales have all been told,
There's a kiss at the end of the rainbow;
More precious than a pot of gold.
Mickey:
My sweet, my dear, my darling, you're so far away from me.
Though an ocean of tears divides us,
Let the bridge of our love span the sea.
Together:
There's a kiss at the end of the rainbow,
More precious than a pot of gold."
2003,Belleville Rendezvous,19UacICIUpQyCSaqqUbhsU,0,,"I don't want to end my days in Timbuktuuu ... 
J' veux pas finir mes jours à Tombouctouuuu... 

(Timbuktuuuu) 
(Tombouctouuuu) 

The skin pulled by nail machines 
La peau tirée par des machines à clous 

I want to be crumpled, tripled crumpled 
Moi je veux être frippé, triplement frippé 

Fried like a Belleville triplet
Frippé comme une triplette de Belleville
I don't wanna end my life at Accapullllllllcoooo 
J' veux pas finir ma vie à Accapullllllllcoooo 

(Accapullllllllcoooo) 
(Accapullllllllcoooo) 

Dance stiff with gigolos 
Danser tout raide avec des gigolos 

I want to be twisted, triple twisted 
Moi je veux être tordu, triplement tordu 

Swing like a Belleville triplet
Balancé comme une triplette de Belleville
Swinging Belleville meeting 
Swinging Belleville rendez-vous 

Marathon dancing doum dilouuu 
Marathon dancing doum dilouuu 

Voodoo Cancan, tabouuu brooms 
Vaudou Cancan, balais tabouuu 

At Belleville swinging appointment
Au Belleville swinging rendez-vous
I don't want to end my life in Singapouuuur 
J' veux pas finir ma vie à Singapouuuur 

(Singapouuuur) 
(Singapouuuur) 

Play a dictionary, eat petit fours 
Jouer au dico, manger des petits fours 

I want to be silly, three times stupid 
Moi je veux être idiot, triplement z'idiot 

Curled like a Belleville triplet
Gondolé comme une triplette de Belleville
I don't want to end my life in Honoluuluuuu 
J' veux pas finir ma vie à Honoluuluuuu 

(Honoluuluuuu) 
(Honoluuluuuu) 

Singing like a bird is no longer done 
Chanter comme un oiseau çà n'se fait plus 

I want my voice broken, triple broken 
Je veux ma voix brisée, triplement brisée 

Swing like a Belleville triplet
Swinguer comme une triplette de Belleville
Swinging Belleville meeting 
Swinging Belleville rendez-vous 

Marathon dancing doum dilouuuu 
Marathon dancing doum dilouuuu 

Voodoo Cancan, tabouuuu brooms 
Vaudou Cancan, balais tabouuuu 

At Belleville swinging appointment
Au Belleville swinging rendez-vous
I would like to end my life in Kathmanduuuu 
J' voudrai finir ma vie à Katmandouuuu 

(Kathmanduuuu) 
(Katmandouuuu) 

It's much sweeter to rhyme ""or"" 
C'est bien plus doux de faire des rimes en ""ou"" 

But I want to be frosted, tripled frosted 
Mais je veux être givré, triplement givré 

Swing like the Belleville triplets
Swinguer comme les triplettes de Belleville
Swinging Belleville meeting 
Swinging Belleville rendez-vous 

Marathon dancing doum dilouuuu 
Marathon dancing doum dilouuuu 

Voodoo Cancan, tabouuuu brooms 
Vaudou Cancan, balais tabouuuu 

At Belleville swinging appointment
Au Belleville swinging rendez-vous
Swinging Belleville meeting 
Swinging Belleville rendez-vous 

Marathon dancing doum dilouuuu 
Marathon dancing doum dilouuuu 

Voodoo Cancan, tabouuuu brooms 
Vaudou Cancan, balais tabouuuu 

At Belleville swinging appointment
Au Belleville swinging rendez-vous"
2002,Lose Yourself,77Ft1RJngppZlq59B6uP0z,1,,"Look
If you had
One shot
Or one opportunity
To seize everything you ever wanted
In one moment
Would you capture it
Or just let it slip?
Yo
His palms are sweaty, knees weak, arms are heavy
There's vomit on his sweater already, mom's spaghetti
He's nervous, but on the surface he looks calm and ready
To drop bombs, but he keeps on forgettin'
What he wrote down, the whole crowd goes so loud
He opens his mouth, but the words won't come out
He's chokin', how, everybody's jokin' now
The clocks run out, times up, over, blaow!
Snap back to reality, oh there goes gravity
Oh, there goes Rabbit, he choked
He's so mad, but he won't give up that easy? No
He won't have it, he knows his whole back's to these ropes
It don't matter, he's dope, he knows that, but he's broke
He's so stagnant, he knows, when he goes back to this mobile home, that's when its
Back to the lab again yo, this whole rhapsody
Better go capture this moment and hope it don't pass him
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime 
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime 
You better
His soul's escaping, through this hole that is gaping
This world is mine for the taking
Make me king, as we move toward a New World Order
A normal life is borin', but super stardom's close to post mortar
It only grows harder, only grows hotter
He blows, it's all over, these hoes is all on him
Coast to coast shows, he's known as the Globetrotter
Lonely roads, God only knows, he's grown farther from home, he's no father
He goes home and barely knows his own daughter
But hold your nose 'cause here goes the cold water
These hoes don't want him no mo', he's cold product
They moved on to the next schmo who flows, he nose dove and sold nada
So the soap opera is told and unfolds, I suppose it's old partna, but the beat goes on
Da-da-dum, da-dum, da-da
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime 
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime 
You better
No more games, I'ma change what you call rage
Tear this motherfuckin' roof off like two dogs caged
I was playin' in the beginnin', the mood all changed
I been chewed up and spit out and booed off stage
But I kept rhymin' and stepped right in the next cypher
Best believe somebody's payin' the Pied Piper
All the pain inside amplified by the
Fact that I can't get by with my nine to
Five and I can't provide the right type of
Life for my family 'cause man, these goddamn food stamps don't buy diapers
And its no movie, there's no Mekhi Phifer
This is my life and these times are so hard
And it's getting even harder tryna feed and water my seed, plus
Teeter-totter, caught up between bein' a father and a prima-donna
Baby mama drama, screamin' on her, too much
For me to wanna stay in one spot, another day of monotony's
Gotten me to the point, I'm like a snail I've got
To formulate a plot fore I end up in jail or shot
Success is my only motherfuckin' option, failure's not
Mom, I love you, but this trailer's got to go, I cannot grow old in Salem's lot
So here I go, is my shot
Feet, fail me not, this may be the only opportunity that I got
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime 
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime 
You better
You can do anything you set your mind to, man"
2002,I Move On,3TqS2DKmyocUfKjgj698cP,0,,"While truckin' down the road of life
Although all hope seems gone
I just move on
When I can't find a single star
To hang my wish upon
I just move on
I mooooove on
I run so fast
A shot gun blast
Can't hurt me not one bit
I'm on my toes
'cause heaven knows
A moving target's hard to hit
So as we play
In life's ballet
We're not the dying swan
We just move on
We mooooove on
Just when it seems
We're out of dreams
And things have got us down
[VELMA]
We don't despair
We don't go there
We hang our bonnets out of town
So there's no doubt
We're well cut out
To run life's marathon
We just move on
We just move on
So fleet of foot
We can'ts stay put
We just move on
Yes we move on!"
2002,Burn It Blue,3USrD964552tsnQnFG1im5,0,,"Burn this house 
Burn it blue 
Heart running on empty 
So lost without you 
But the night sky blooms with fire 
And the burning bed floats higher 
And she's free to fly 
Woman so weary 
Spread your broken wings 
Fly free as the swallow sings 
Come to the firework 
See the dark lady smiles 
She burns 
And the night sky blooms with fire 
And the burning bed floats higher 
And she's free to fly 
Burn this night 
Black and blue 
So cold in the morning 
So cold without you 
And the night sky blooms with fire 
(Y la noche que se encendia) 
And the burning bed floats higher 
(Y la cama que lleva) 
And she's free to fly 
(A volar) 
And all of the dark days 
Painted in dark grey hues 
They fade with the dream of you 
Wrapped in red velvet 
Dancing the night away 
I burn 
Midnight blue 
Spread those wings 
Fly free with the swallows 
Fly 
One with the wind 
why él es flama que se lleva 
Why es un pájaro a volar 
Why es un pájaro a volar 
En la noche que se encendió 
(...) 
Luces del cielo 
And the night sky blooms with fire 
(Y eres flama que se lleva) 
And the burning bed floats higher 
(Y eres un pajaro a volar) 
And she´s free to fly 
(Y eres un pajaro a volar) 
Just a swallow in the sky 
(Y eres la noche que se encendia) 
... 
Much brighter 
(bla bla bla why la oscuridad) 
Burn this house 
Burn it blue 
Heart running on empty 
So lost without you"
2002,The Hands That Built America,7dVXb3ILrvzeScPRXmASXW,0,,"Oh my love
It's a long way we've come
From the freckled hills
To the steel and glass canyons
From the stony fields
To hanging steel from skies
From digging in our pockets
For a reason not to say goodbye
These are the hands that built America
Ah, ah, ah, America
Last saw your face
In a water colored sky
As sea birds argue a long goodbye
I took your kiss
On the spray of a new lined star
You gotta live in your dreams
Don't make them so hard
And these are the hands that built America
Ah, ah, ah, America
Of all of the promises
Is this one we can keep
Of all of the dreams
Is this one still out of reach?
It's early fall
There's a cloud in the New York skyline
Innocence dragged across a yellow line
These are the hands that built America
These are the hands that built America
Ah, ah, ah, America
Ah, ah, ah, America"
2002,Father and Daughter,4aU1zq0W9Ftg1UAQSj4aHN,0,,"If you ever awake
In the mirror of a bad dream
And for a fraction of a second,
You can't remember where you are
Just open your window
And follow your memories
Upstream
To the meadow in the mountain
Where we counted every falling star
I believe the light that shines on you
Will shine on you forever
(Forever)
And though I can't guarantee there's nothing scary
Hidin' under your bed
I'm gonna
Stand guard
Like the postcard
Of the golden retriever
And never leave
'Til I leave you
With a sweet dream in your head
I'm gonna watch you shine
Gonna watch you grow
Gonna paint a sign
So you always know
As long as one and one is two
Ooh ooh
There could never be a father
Love his daughter more than I love you
Trust your intuition
It's just like going fishin'
You cast your line and
Hope you get a bite
But you don't need to waste your time
Worryin' about the marketplace
Trying to help the human race
Struggling to survive
It's as harsh as night
I'm gonna watch you shine
Gonna watch you grow
Gonna paint a sign
So you always know
As long as one and one is two
Ooh ooh
There could never be a father
Love his daughter more than I love you
I'm gonna watch you shine
Gonna watch you grow
Gonna paint a sign
So you always know
As long as one and one is two
Ooh ooh
There could never be a father
Love his daughter more than I love you"
2001,If I Didn't Have You,7xf3S6Bv8hDqOtevZou602,1,,"If I were a rich man
With a million or two
I'd live in a penthouse
In a room with a view
And if I were handsome, it could happen
'Cause dreams do come true
I wouldn't have nothing if I didn't have you
Wouldn't have nothing if I didn't have
Wouldn't have nothing if I didn't have
Wouldn't have nothing
For years I have envied
Your grace and your charm
Everyone loves you, you know
Yes, I know, I know, I know
But I must admit it
Big guy, you always come through
I wouldn't have nothing if I didn't have you
You and me together
That's how it always should be
One without the other
Don't mean nothing to me
Nothing to me
Yes I wouldn't be nothing
If I didn't have you to serve
I'm just a punky little eyeball
With an ugly little optic nerve
Hey, I never told you this but
You know sometimes I get a little blue
But I wouldn't have nothing if I didn't have you
Dance with me
I wouldn't be nothing
If I didn't have you
I wouldn't know where to go
Wouldn't know what to do
I don't have to say it
'Cause we both know it's true
I wouldn't have nothing if I didn't have
I wouldn't have nothing if I didn't have
I wouldn't have nothing if I didn't have you
Wouldn't have nothing if I didn't have you"
2001,Until…,4gY5LYakwjyTJU4Nu80W8c,0,,"If I caught the world in a bottle
And everything was still beneath the moon
Without your love would it shine for me?
If I was smart as Aristotle
And understood the rings around the moon
What would it all matter if you loved me?
Here in your arms 
Where the world is impossibly still
With a million dreams to fulfill
And a matter of moments until the dancing ends
Here in your arms 
When everything seems to be clear
Not a solitary thing would I fear
Except when this moment comes near the dancings´ end
If I caught the world in an hourglass
Saddled up the moon so we could ride
Until the stars grew dim, Until?
One day you'll meet a stranger 
And all the noise is silenced in the room
you'll feel that you´re close to some mystery
In the moonlight when everything shatters
You´ll feel as if you've known her all your life
The world?s oldest lesson in history
Here in your arms 
Where the world is impossibly still
With a million dreams to fulfill
And a matter of moments until the dancing ends
Here in your arms 
When everything seems to be clear
Not a solitary thing do I fear
Except when this moment comes near the dancings end
Oh, if I caught the world in an hourglass
Saddled up the moon and we would ride
Until the stars grew dim 
Until the time that time stands still, Until?"
2001,May It Be,7LAJWSKK8JMIZAcblgUMS6,0,,"May it be an evening star
Shines down upon you
May it be when darkness falls
Your heart will be true
You walk a lonely road
Oh, how far you are from home
Mornië utúlië ((darkness has come))
Believe and you will find your way
Mornië alantië ((darkness has fallen))
A promise lives within you now
May it be the shadows call
Will fly away
May it be your journey on
To light the day
When the night is overcome
You may rise to find the sun
Mornië utúlië ((darkness has come))
Believe and you will find your way
Mornië alantië ((darkness has fallen))
A promise lives within you now
A promise lives within you now"
2001,There You'll Be,1s2khOWzC99udpUaPICLJI,0,,"When I think back on these times,
And the dreams we left behind,
I'll be glad cause I was blessed to get,
To have you in my life,
When I look back on these days,
I look and see your face,
You were right there for me.
In my dreams I'll always see you soar above the sky,
In my heart there'll always be a place for you,
For all my life,
I'll keep a part of you with me,
And everywhere I am there you'll be,
And everywhere I am there you'll be,
Well you showed me how it feels,
To feel the sky within my reach,
And I always will remember all,
The strength you gave to me,
Your love made me make it through,
Ohh I owe so much to you,
You were right there for me.
In my dreams I'll always see you soar above the sky,
In my heart there'll always be a place for you,
For all my life,
I'll keep a part of you with me,
And everywhere I am there you'll be,
And everywhere I am there you'll be,
Cause I always saw you in my light, my strength,
And I wanna thank you now for all the ways,
You were right there for me, you were right there for me
You were right there for me,
For always
In my dreams I'll always see you soar above the sky,
In my heart there'll always be a place for you,
For all my life,
I'll keep a part of you with me,
And everywhere I am there you'll be
And everywhere I am there you'll be"
2001,Vanilla Sky,2NaEDXGdQkAYe4ZlFY3Ga3,0,Can't listen to song on Spotify ,"The chef prepares a special menu
For your delight, oh my.
Tonight you fly, so high up
In the Vanilla Sky
Your life is fine
It's sweet and sour
Unbearable great
You've got to learn
Every hour, you must appreciate.
This is your time,
This is your day.
You've got it all.
Don't blow it away.
The chef prepares a special menu
For your delight, oh my.
Tonight you fly, so high up
In the Vanilla Sky.
Melted tin beads,
Cast you fortune
In a glass of wine.
Snail or fish,
Balloon or dolphin
See your silver shine.
This is your time,
This is your day.
You've got it all,
Don't blow it away.
The chef prepares a special menu
For your delight, oh my.
Tonight you fly, so high up
In the Vanilla Sky
In the vanilla, uh, in the vanilla, oh, in the vanilla sky.
In the vanilla, ah, in the vanilla, uh, in the vanilla sky.
Mmmm in the Vanilla Sky"
2000,Things Have Changed,3UEWtvTL3mE797dNOv8Rzw,1,,"A worried man with a worried mind
No one in front of me and nothing behind
There's a woman on my lap and she's drinking champagne
Got white skin, got assassin's eyes
I'm looking up into the sapphire tinted skies
I'm well dressed, waiting on the last train
Standing on the gallows with my head in a noose
Any minute now I'm expecting all hell to break loose
People are crazy and times are strange
I'm locked in tight, I'm out of range
I used to care, but things have changed
This place ain't doing me any good
I'm in the wrong town, I should be in Hollywood
Just for a second there I thought I saw something move
Gonna take dancing lessons do the jitterbug rag
Ain't no shortcuts, gonna dress in drag
Only a fool in here would think he's got anything to prove
Lotta water under the bridge, lotta other stuff too
Don't get up gentlemen, I'm only passing through
People are crazy and times are strange
I'm locked in tight, I'm out of range
I used to care, but things have changed
I've been walking forty miles of bad road
If the bible is right, the world will explode
I've been trying to get as far away from myself as I can
Some things are too hot to touch
The human mind can only stand so much
You can't win with a losing hand
Feel like falling in love with the first woman I meet
Putting her in a wheel barrow and wheeling her down the street
People are crazy and times are strange
I'm locked in tight, I'm out of range
I used to care, but things have changed
I hurt easy, I just don't show it
You can hurt someone and not even know it
The next sixty seconds could be like an eternity
Gonna get lowdown, gonna fly high
All the truth in the world adds up to one big lie
I'm love with a woman who don't even appeal to me
Mr. Jinx and Miss Lucy, they jumped in the lake
I'm not that eager to make a mistake
People are crazy and times are strange
I'm locked in tight, I'm out of range
I used to care, but things have changed"
2000,A Love Before Time,7oUQMnaNO5f6YvKYNS5CKO,0,,"If the sky opened up for me,
And the mountains disappeared,
If the seas run dry, turned to dust
And the sun refused to rise
I would still find my way,
By the light I see in your eyes.
The world I know fades away
But you stay.
As the earth reclaims its due,
And the cycle starts anew,
We'll stay, always
In the love that we have
Shared before time.
If the years take away
Every memory that I have
I would still know the way
That would lead me back to your side.
The North star may die
But the light that I see in your eyes
Will burn there always
By the love we have
Shared before time.
When the forest turns to jade,
And the stories that we've made
Dissolve away
One shining light will still remain.
When we shed our earthly skin,
When our real life begins,
There'll be no shame
Just the love that we have made before time."
2000,I've Seen It All,1YVGmFUZO1neVfwT2pjrmk,0,,"I've seen it all
I have seen the trees
I have seen the willow leaves
Dancing in the breeze
I've seen a man killed
By his best friend,
And lives that were over
Before they were spent.
I've seen what I was
And I know what I'll be
I've seen it all
There is no more to see
You haven't seen elephants
Kings or Peru
I'm happy to say
I had better to do
What about China?
Have you seen the Great Wall?
All walls are great
If the roof doesn't fall
And the man you will marry
The home you will share
To be honest
I really don't care
[gibberish]
You've never been
To Niagara Falls
I have seen water
It's water, that's all
The Eiffel Tower
The Empire State
My pulse was as high
On my very first date
And your grandson's hand
As he plays with your hair
To be honest
I really don't care
[gibberish]
I've seen it all
I've seen the dark
I've seen the brightness
In one little spark
I've seen what I chose
And I've seen what I need
And that is enough
To want more would be greed
I've seen what I was
And I know what I'll be
I've seen it all
There is no more to see
You've seen it all
And all you have seen
You can always review on
Your own little screen
The light and the dark
The big and the small
Just keep in mind
You need no more at all
You've seen what you were
And know what you'll be
You've seen it all
There is no more to see
[gibberish]"
2000,My Funny Friend and Me,3VNVHB1pa63RIokenb7EKt,0,,"In the quiet time of evening
When the stars assume their patterns
And the day has made his journey
And we wondered just what happened
To the life we knew before the world changed
When not a thing I held was true
But you were kind to me and you reminded me
That the world is not my playground
There are other things that matter
And when a simple needs protecting (*see below)
My illusions all would shatter
But you stayed in my corner
The only world I know was upside down
And now the world and me, I know you carry me
You see the patterns in the big sky
Those constellations look like you and I
Just like the patterns in the big sky
We could be lost we could refuse to try
But we made it through in the dark night
Would those lucky guys turn out to be
But that unusual blend of my funny friend and me
I'm not as clever as I thought I was
I'm not the boy I used to be because
You showed me something different, you showed me something pure
I always seemed so certain but I was really never sure
But you stayed and you called my name
When others would have walked out on a lousy game
And you could've made it through
But your funny friend and me
You see the patterns in the big sky
Those constellations look like you and I
That tiny planet in a bigger guy
I don't know whether I should laugh or cry
Just like the patterns in the big sky
We'll be together till the end is nigh
Don't know the answer or the reason why
We'll stick together till the day we die
If I had to do this all a second time
I won't complain or make a fuss
When the angels sing that that unlikely blend
Are those two funny friends
That's us"
2000,A Fool in Love,0DCm2Swqv2m6sNqo27OAY4,0,,"Look at the light coming over me
Show me a man who's gentle and kind
And I'll show you a loser
Now, show me a man who takes what he wants
Ohhhhhhhhh how exciting
Ohhhhhhhhh how exciting
So the poet sings
When you're a fool in love
And nothing goes the way you plan
And no one cares and no one understands
That you're a fool and you're in love
Never another spring for you,
Never a robin to sing for you,
You're out there on your own
When you're a fool in love
When you're a fool in love
Seems like the skies are always grey
You turn around there's someone in your way
And its you, and you're in love
Sometimes you think that your luck has changed
And a rainbow explodes 'cross the sky,
But when you're a fool in love
You'll be a fool 'til the day you die"
1999,You'll Be In My Heart,4Y8vb1uy9IjM2V1hqvrAid,1,,"Come stop your crying
It will be alright
Just take my hand
And hold it tight
I will protect you
From all around you
I will be here
Don't you cry
For one so small,
You seem so strong
My arms will hold you,
Keep you safe and warm
This bond between us
Can't be broken
I will be here
Don't you cry
'Cause you'll be in my heart
Yes, you'll be in my heart
From this day on
Now and forever more
You'll be in my heart
No matter what they say
You'll be here in my heart
Always
Why can't they understand the way we feel
They just don't trust what they can't explain
I know we're different, but deep inside us
We're not that different at all
And you'll be in my heart
Yes you'll be in my heart
From this day on
Now and forever more
Don't listen to them
'Cause what do they know
We need each other, to have, to hold
They'll see in time, I know
When destiny calls you, you must be strong
I may not be with you
But you got to hold on
They'll see in time, I know
We'll show them together
'Cause you'll be in my heart
Believe me you'll be in my heart
I'll be there from this day on
Now and forever more
You'll be in my heart
No matter what they say
You'll be here in my heart
Always
Always I'll be with you
I'll be there for you always
Always and always
Just look over your shoulder
Just look over your shoulder
Just look over your shoulder
I'll be there
Always"
1999,Save Me,0EqtsCvcDjEz6svFsaV5HN,0,,"You look like a perfect fit
For a girl in need of a tourniquet
But can you - save me
Come on and - save me
If you could - save me
From the ranks of the freaks
Who suspect they could never love anyone
'Cause I can tell 
You know what it's like 
The long farewell 
Of the hunger strike 
But can you save me 
Come on and save me 
If you could save me 
From the ranks of the freaks 
Who suspect they could never love anyone 
You struck me down like radium
Like Peter Pan or Superman
You will come to save me
C'mon and save me 
If you could save me 
From the ranks of the freaks 
Who suspect they could never love anyone 
'Cept the freaks 
Who suspect they could never love anyone 
But the freaks 
Who suspect they could never love anyone 
C'mon and save me 
Why don't you save me 
If you could save me 
From the ranks of the freaks 
Who suspect they could never love anyone 
Except the freaks 
Who suspect they could never love anyone 
Except the freaks who could never love anyone"
1999,Music of My Heart,0M3ZIWNcizkhYFvn6RuCEz,0,,"You'll never know
What you've done for me
What your faith in me
Has done for my soul (echo)
And you'll never know the gift you've given me
I'll carry it with me
Yeah ee yeah
Through the days ahead I'll think of days before (mm hmm)
You made me hope for something better (yes you did)
And made me reach for something more
You taught me to run
You taught me to fly
Helped me to free the me inside
Helped me hear the music of my heart
Helped me hear the music of my heart
You opened my eyes
You opened the door
To something I'd never known before
And your love (love)
Is the music of my heart (music of my heart)
You were the one
Always on my side (always on my side)
Always standing by (always standing by)
Seeing me through
You were the song that always made me sing
I'm singing this for you (singing this for you baby)
Everywhere I go I'll think of where I've been (think of where I've been)
And you're the one who knew me better than anyone ever will again (? )
You taught me to run
You taught me to fly
Helped me to free the me inside (siiidee)
Helped me hear the music of my heart
Helped me hear the music of my heart (yeah, yeah, yeah, yeah)
You opened my eyes
You opened the door (you opened the door)
To something I'd never known before (ohh ohhhhh)
And your love (your love)
Is the music of my heart (music of my heart)
What you taught me
Only your love could ever teach me
You got through when no one else could reach me (baby ohhh ohhh ohhh)
'Cause you always saw in me
All the best that I could be
It was you who set me free
You taught me to run
You taught me to fly
Helped me to free the me inside (me inside)
Helped me hear the music of my heart
Helped me hear the music of my heart
You taught me to run
You taught me to fly
Helped me to free the me inside (me inside)
Helped me hear the music of my heart (music of my heart)
Helped me hear the music of my heart (yeah ah yeah)
You opened my eyes
You opened the door (opened the door)
To something I'd never known before (never, never, never felt before)
And your love
Is the music of my heart
The music of my heart
Music of my heart
Is the music of my heart"
1999,Blame Canada,04DAMpSbS75vvF0SAyrwK1,0,,"Time's have changed
Our kids are getting worse
They won't obey their parents
They just want to fart and curseShould we blame the government?
Or blame society?
Or should we blame the images on TV?No, blame Canada, blame Canada
With all their beady little eyes
And flappin' heads so full of liesBlame Canada, blame Canada
We need to form a full assault
It's Canada's fault Don't blame me for my son Stan
He saw the darn cartoon
And now he's off to join the KlanAnd my boy Eric once
Had my picture on his shelf
But now when I see him he tells me to fuck myselfWell, blame Canada, blame Canada
It seems that everything's gone wrong
Since Canada came alongBlame Canada, blame Canada
There not even a real country anywayMy son could've been a doctor or a lawyer rich and true
Instead he burned up like a piggy on a barbecueShould we blame the matches?
Should we blame the fire?
Or the doctors who allowed him to expire?
Heck no
Blame Canada, blame Canada
With all their hockey hullabaloo
And that bitch Anne Murray too
Blame Canada, shame on CanadaThe smut we must stop, the trash we must smash
Laughter and fun must all be undone
We must blame them and cause a fuss
Before someone thinks of blaming us"
1999,When She Loved Me,6lMh9k54E4mxbGBMkSwYhT,0,,"When somebody loved me
Everything was beautiful
Every hour spent together
Lives within my heart
And when she was sad
I was there to dry her tears
And when was happy so was I
When she loved me
Through the summer and the fall
We had each other, that was all
Just she and I together
Like it was meant to be
And when she was lonely
I was there to comfort her
And I knew that she loved me
So the years went by
I stayed the same
But she began to drift away
I was left alone
Still I waited for the day
When she'd say, ""I will always love you""
Lonely and forgotten
Never thought she'd look my way
And she smiled at me and held me
Just like she used to do
Like she loved me
When she loved me
When somebody loved me
Everything was beautiful
Every hour spent together
Lives within my heart
When she loved me"
